Parametros,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Pob_Mujeres_16_anios,17280,17447,17857,17497,18188,18750,19362,18856,18508,17943,17594,17658,17722,17918,17917,17443,17614,17659,17627,16364,15706,14536,13352,12756,11782,10990,10230,9873,9352,8885,8871,8469,8281,8245,8268,8171,8002,7995,8492,8512,8497,9117,9211,9321,9778,10203,10452,10427,10613,10811,11266
Pob_Mujeres_17_anios,16333,17312,17517,17912,17583,18242,18829,19265,18744,18393,17853,17512,17579,17643,17846,17844,17364,17581,17639,17612,16377,15728,14548,13377,12788,11790,10985,10238,9954,9448,8998,8973,8636,8383,8356,8328,8228,8051,8034,8510,8547,8545,9206,9276,9411,9890,10266,10521,10598,10775,10946
Pob_Mujeres_18_anios,15525,16420,17343,17589,17969,17672,18296,18722,19143,18631,18280,17769,17426,17506,17569,17774,17774,17302,17552,17614,17596,16390,15752,14564,13401,12820,11796,10995,10382,10079,9577,9141,9136,8818,8522,8440,8423,8330,8141,8059,8579,8654,8647,9356,9446,9617,9983,10432,10817,10849,11029
Pob_Mujeres_19_anios,15224,15641,16510,17369,17662,18030,17761,18192,18576,19016,18510,18165,17684,17341,17431,17489,17704,17702,17252,17524,17589,17578,16401,15778,14577,13427,12852,11823,11133,10540,10254,9791,9400,9411,9013,8624,8508,8570,8439,8211,8157,8707,8804,8835,9549,9720,9753,10100,10807,11084,11154
Pob_Mujeres_20_anios,14707,15320,15756,16602,17399,17731,18084,17684,18046,18431,18890,18397,18043,17593,17255,17356,17406,17644,17632,17201,17493,17568,17560,16411,15803,14589,13452,12901,11985,11331,10757,10487,10060,9690,9629,9144,8751,8585,8641,8491,8266,8260,8833,9013,9040,9881,9868,9904,10426,11087,11382
Pob_Mujeres_21_anios,14553,14802,15415,15871,16686,17432,17804,18005,17575,17911,18284,18766,18284,17926,17503,17165,17278,17323,17577,17561,17150,17466,17547,17543,16425,15826,14603,13492,13105,12204,11612,11027,10802,10360,9966,9761,9236,8824,8684,8671,8593,8398,8425,9077,9294,9353,10000,9911,10213,10732,11420
Pob_Mujeres_22_anios,14440,14716,14896,15508,15986,16775,17463,17744,17901,17464,17776,18135,18641,18170,17807,17418,17080,17207,17239,17515,17489,17104,17438,17521,17522,16437,15852,14618,13702,13293,12439,11893,11374,11127,10670,10149,9918,9342,8942,8749,8754,8728,8594,8662,9418,9635,9535,10120,10316,10589,11113
Pob_Mujeres_23_anios,13820,14590,14876,14988,15607,16099,16860,17387,17664,17800,17352,17643,17984,18516,18058,17691,17324,17010,17139,17159,17453,17417,17052,17412,17499,17507,16447,15876,14805,13918,13533,12664,12188,11681,11411,10829,10274,10049,9390,8998,8862,8933,8932,8866,8994,9803,9859,9645,10496,10740,10985
Pob_Mujeres_24_anios,14474,13968,14736,15039,15081,15704,16215,16833,17291,17577,17690,17240,17501,17833,18390,17938,17573,17270,16947,17067,17083,17386,17347,17003,17386,17472,17487,16463,16031,15029,14133,13769,12943,12509,11900,11519,10974,10357,10142,9445,9112,8981,9140,9188,9173,9452,10006,10008,9962,10823,11196
Pob_Mujeres_25_anios,14918,14570,14110,14882,15195,15174,15796,16181,16784,17193,17491,17588,17124,17355,17688,18263,17819,17508,17212,16882,16995,16999,17323,17274,16951,17357,17451,17440,16593,16236,15223,14354,14070,13227,12738,12015,11620,10979,10371,10150,9531,9227,9164,9420,9586,9527,9690,10095,10341,10368,11251
Pob_Mujeres_26_anios,15523,15015,14667,14256,15032,15354,15264,15755,16115,16735,17097,17404,17481,17004,17216,17538,18138,17758,17451,17156,16812,16919,16918,17258,17202,16904,17325,17435,17571,16769,16447,15463,14542,14397,13389,12862,12132,11670,10981,10380,10176,9649,9411,9416,9727,9963,9725,9805,10481,10674,10789
Pob_Mujeres_27_anios,14633,15592,15112,14768,14402,15176,15511,15225,15687,16044,16684,17001,17319,17379,16894,17071,17386,18083,17713,17395,17093,16743,16848,16837,17198,17128,16856,17296,17495,17670,16862,16635,15667,14753,14606,13517,12854,12132,11637,10969,10465,10303,9842,9578,9762,10069,10157,9785,10128,10790,11023
Pob_Mujeres_28_anios,14412,14693,15660,15206,14867,14548,15319,15479,15152,15621,15982,16630,16902,17228,17275,16780,16932,17347,18038,17666,17335,17031,16674,16780,16756,17135,17055,16777,17393,17578,17777,16980,16835,15817,14931,14663,13580,12917,12113,11584,10956,10548,10451,10057,9852,10134,10269,10242,10093,10421,11128
Pob_Mujeres_29_anios,15733,14453,14759,15724,15298,14967,14700,15276,15401,15084,15554,15918,16579,16802,17138,17169,16665,16903,17330,17989,17610,17274,16961,16608,16715,16674,17070,16969,16844,17453,17649,17879,17104,16984,15955,14958,14596,13643,12907,12048,11596,11079,10687,10673,10300,10214,10323,10318,10534,10398,10725
Pob_Mujeres_30_anios,14556,15748,14490,14820,15788,15394,15063,14665,15200,15324,15019,15484,15852,16524,16701,17048,17058,16646,16895,17311,17939,17561,17209,16908,16543,16651,16589,16994,16980,16889,17535,17799,18014,17224,17138,15976,15073,14648,13566,12768,12035,11628,11210,10899,10964,10657,10441,10335,10651,10815,10756
Pob_Mujeres_31_anios,14044,14577,15764,14526,14877,15856,15486,15018,14590,15123,15250,14946,15417,15789,16473,16598,16961,17034,16649,16876,17289,17895,17505,17153,16856,16472,16580,16510,17059,17028,17004,17634,17936,18120,17391,17203,16013,15060,14568,13488,12823,12097,11718,11309,11074,11252,10823,10487,10611,11011,11071
Pob_Mujeres_32_anios,12519,14077,14603,15781,14565,14939,15921,15435,14946,14509,15047,15171,14874,15352,15727,16423,16494,16951,17019,16651,16867,17259,17842,17454,17097,16799,16406,16489,16553,17154,17094,17123,17751,18011,18220,17466,17207,16030,14992,14398,13492,12871,12210,11873,11515,11321,11434,10835,10752,10786,11258
Pob_Mujeres_33_anios,11727,12479,14105,14624,15795,14606,15001,15864,15356,14868,14428,14969,15098,14808,15281,15664,16368,16482,16953,17015,16659,16845,17235,17795,17409,17046,16742,16341,16566,16627,17246,17183,17273,17848,18082,18243,17457,17184,15973,14853,14424,13568,12964,12385,12069,11800,11434,11394,11113,11024,11079
Pob_Mujeres_34_anios,13465,11745,12433,14138,14644,15808,14646,14944,15777,15279,14790,14352,14885,15018,14739,15210,15594,16351,16486,16957,17001,16656,16831,17217,17754,17354,16991,16699,16406,16617,16710,17358,17312,17440,17985,18077,18301,17424,17115,15932,14845,14470,13671,13088,12578,12392,11978,11431,11643,11363,11279
Pob_Mujeres_35_anios,10182,13433,11764,12390,14160,14662,15823,14581,14856,15688,15192,14715,14271,14808,14939,14670,15143,15582,16341,16487,16960,16982,16652,16822,17199,17706,17307,16936,16738,16435,16696,16777,17474,17442,17533,18028,18129,18310,17408,17089,15972,14904,14612,13778,13278,12850,12498,12001,11691,11840,11561
Pob_Mujeres_36_anios,10915,10169,13398,11782,12348,14192,14674,15762,14508,14775,15604,15107,14644,14193,14733,14858,14595,15135,15586,16329,16489,16960,16970,16653,16810,17183,17665,17258,16987,16789,16493,16814,16892,17555,17566,17516,18043,18097,18260,17323,17090,15979,15078,14708,13975,13491,12940,12458,12196,11878,12093
Pob_Mujeres_37_anios,12109,10894,10155,13367,11791,12302,14224,14613,15679,14429,14696,15522,15023,14565,14116,14642,14780,14583,15139,15595,16322,16492,16964,16955,16650,16802,17164,17604,17272,17070,16865,16574,16915,17015,17665,17592,17548,18081,18031,18129,17372,17121,16083,15197,14916,14220,13593,12973,12738,12433,12126
Pob_Mujeres_38_anios,14924,12118,10879,10140,13333,11805,12255,14182,14538,15589,14357,14606,15437,14935,14482,14040,14560,14758,14586,15135,15592,16308,16498,16958,16942,16655,16793,17140,17616,17285,17169,16957,16663,17072,17121,17675,17594,17504,18031,17917,18161,17400,17241,16159,15397,15095,14340,13596,13165,12938,12596
Pob_Mujeres_39_anios,13669,14900,12118,10862,10124,13298,11822,12195,14121,14464,15501,14281,14523,15355,14847,14400,13964,14548,14752,14593,15137,15585,16291,16499,16953,16922,16657,16785,17197,17645,17343,17229,17050,16775,17171,17142,17639,17624,17465,17983,17953,18232,17461,17360,16292,15638,15241,14358,13806,13364,13117
Pob_Mujeres_40_anios,13950,13658,14871,12119,10841,10104,13265,11773,12127,14053,14386,15423,14204,14434,15267,14760,14322,13941,14542,14743,14596,15135,15583,16271,16494,16952,16906,16652,16817,17257,17688,17424,17348,17120,16847,17196,17167,17631,17611,17329,17939,17966,18293,17571,17461,16456,15698,15244,14555,13970,13545
Pob_Mujeres_41_anios,14518,13969,13647,14839,12123,10820,10087,13195,11722,12061,13988,14304,15341,14120,14348,15181,14675,14293,13930,14540,14727,14591,15123,15588,16255,16495,16949,16894,16671,16844,17306,17771,17500,17421,17159,16902,17180,17199,17609,17551,17329,17986,18052,18405,17689,17654,16504,15692,15428,14707,14119
Pob_Mujeres_42_anios,14564,14510,13986,13637,14803,12126,10802,10035,13114,11666,11995,13922,14220,15250,14043,14257,15087,14646,14274,13915,14536,14711,14597,15113,15587,16236,16501,16955,16925,16694,16908,17371,17832,17551,17498,17189,16907,17216,17135,17538,17552,17361,18067,18133,18477,17844,17695,16485,15857,15537,14879
Pob_Mujeres_43_anios,13590,14548,14495,13993,13620,14775,12122,10746,9989,13038,11606,11922,13850,14140,15168,13966,14160,15060,14638,14256,13902,14532,14695,14587,15108,15586,16216,16498,16949,16972,16722,16964,17407,17890,17593,17511,17186,16912,17154,17059,17523,17537,17384,18144,18230,18639,17921,17646,16651,15960,15719
Pob_Mujeres_44_anios,14279,13594,14533,14489,13997,13597,14741,12071,10690,9936,12963,11546,11846,13784,14052,15077,13885,14117,15053,14632,14228,13889,14531,14678,14588,15100,15581,16204,16539,16994,16990,16769,17062,17461,17960,17634,17497,17206,16835,17106,17056,17532,17612,17475,18242,18386,18692,17883,17753,16766,16106
Pob_Mujeres_45_anios,12650,14232,13605,14517,14481,14009,13583,14659,12007,10623,9882,12886,11481,11774,13713,13964,14984,13859,14100,15040,14622,14201,13879,14535,14651,14581,15094,15583,16205,16565,17029,17026,16850,17117,17512,17966,17611,17447,17152,16766,17094,17057,17526,17621,17542,18364,18442,18652,17957,17818,16876
Pob_Mujeres_46_anios,13549,12699,14191,13603,14500,14464,14022,13512,14574,11940,10569,9825,12804,11420,11694,13638,13883,14934,13849,14078,15027,14604,14181,13867,14533,14633,14566,15083,15613,16247,16604,17091,17091,16905,17156,17532,17994,17629,17374,17093,16804,17068,17104,17585,17674,17664,18398,18484,18793,18051,17949
Pob_Mujeres_47_anios,12586,13534,12750,14145,13603,14473,14455,13953,13431,14481,11885,10507,9774,12722,11352,11611,13560,13848,14888,13836,14052,15015,14594,14153,13855,14527,14618,14569,15086,15611,16287,16644,17117,17132,16914,17154,17494,17957,17593,17304,17073,16798,17083,17169,17658,17797,17700,18382,18541,18858,18198
Pob_Mujeres_48_anios,12524,12535,13514,12787,14091,13596,14457,14375,13868,13352,14385,11813,10446,9725,12627,11283,11533,13506,13812,14848,13826,14032,15005,14584,14123,13828,14518,14611,14600,15108,15600,16300,16664,17169,17162,16904,17144,17465,17924,17530,17272,17094,16852,17090,17230,17758,17849,17701,18518,18623,18918
Pob_Mujeres_49_anios,12226,12514,12490,13500,12823,14029,13602,14375,14275,13782,13264,14297,11747,10381,9670,12541,11213,11485,13467,13785,14803,13799,14005,14976,14556,14094,13805,14506,14614,14625,15133,15624,16301,16687,17173,17139,16858,17101,17412,17847,17506,17281,17125,16871,17128,17307,17760,17833,17807,18603,18667
Pob_Mujeres_50_anios,12016,12174,12484,12451,13468,12862,13961,13536,14288,14167,13687,13170,14188,11668,10316,9617,12458,11164,11444,13422,13741,14743,13782,13971,14948,14536,14062,13787,14516,14593,14624,15138,15630,16338,16695,17185,17133,16831,17021,17368,17813,17482,17283,17147,16896,17222,17295,17760,17919,17945,18661
Pob_Mujeres_51_anios,11493,11978,12146,12472,12401,13433,12897,13865,13453,14205,14062,13600,13085,14085,11579,10245,9564,12388,11119,11402,13371,13705,14692,13762,13935,14921,14509,14031,13799,14512,14551,14634,15136,15616,16362,16686,17156,17080,16767,16971,17313,17821,17512,17302,17184,16954,17228,17261,17826,17967,18014
Pob_Mujeres_52_anios,10814,11406,11933,12112,12443,12359,13416,12816,13763,13371,14118,13954,13506,12997,13981,11510,10173,9511,12321,11066,11360,13330,13670,14648,13743,13904,14903,14484,14025,13784,14485,14546,14611,15174,15599,16321,16621,17092,17007,16748,16925,17271,17818,17529,17337,17221,16971,17176,17335,17903,18031
Pob_Mujeres_53_anios,10486,10785,11319,11895,12060,12417,12315,13324,12713,13657,13280,14034,13836,13407,12899,13881,11441,10128,9458,12268,11017,11308,13281,13636,14602,13710,13862,14868,14447,14004,13773,14472,14538,14608,15172,15576,16303,16588,17032,16926,16698,16896,17264,17821,17530,17371,17230,16945,17249,17345,17948
Pob_Mujeres_54_anios,10417,10414,10758,11224,11849,12021,12395,12234,13223,12609,13560,13187,13941,13708,13313,12805,13775,11390,10079,9411,12209,10971,11252,13232,13597,14532,13684,13832,14816,14424,13998,13750,14455,14517,14603,15119,15531,16232,16524,16958,16865,16668,16878,17253,17838,17572,17393,17197,16988,17254,17413
Pob_Mujeres_55_anios,8580,10361,10342,10733,11145,11798,11980,12312,12153,13111,12506,13454,13093,13845,13591,13219,12707,13691,11329,10036,9360,12140,10920,11204,13173,13556,14464,13650,13796,14781,14365,13970,13737,14419,14486,14563,15081,15475,16177,16452,16897,16845,16649,16860,17264,17826,17556,17358,17264,17019,17298
Pob_Mujeres_56_anios,9064,8551,10305,10281,10694,11057,11735,11903,12220,12060,13006,12411,13343,13011,13736,13472,13124,12636,13610,11270,9974,9314,12068,10869,11144,13118,13507,14401,13607,13745,14765,14339,13928,13691,14378,14452,14520,15017,15412,16069,16404,16837,16843,16618,16855,17304,17825,17532,17398,17302,17069
Pob_Mujeres_57_anios,8560,9002,8521,10237,10212,10661,10978,11652,11820,12111,11969,12888,12297,13220,12902,13632,13349,13049,12560,13519,11220,9925,9255,11995,10811,11094,13059,13460,14333,13557,13697,14715,14307,13898,13630,14319,14389,14480,14938,15331,16015,16352,16794,16824,16590,16851,17285,17749,17539,17395,17352
Pob_Mujeres_58_anios,8348,8528,8939,8486,10173,10157,10639,10905,11551,11722,12011,11879,12759,12197,13112,12806,13526,13275,12962,12485,13417,11160,9866,9195,11921,10758,11052,12999,13396,14246,13519,13653,14659,14242,13875,13587,14284,14368,14399,14873,15291,15986,16301,16771,16795,16586,16843,17212,17769,17543,17407
Pob_Mujeres_59_anios,8461,8293,8487,8865,8458,10092,10074,10576,10832,11449,11636,11899,11776,12632,12083,12987,12706,13431,13192,12888,12401,13326,11087,9807,9138,11841,10698,10990,12932,13334,14175,13466,13605,14601,14205,13844,13499,14226,14315,14279,14827,15256,15949,16250,16735,16803,16530,16774,17239,17771,17553
Pob_Mujeres_60_anios,8622,8380,8229,8452,8774,8425,10001,9985,10512,10750,11339,11540,11787,11691,12518,11967,12858,12628,13348,13115,12808,12327,13224,11018,9750,9074,11766,10629,10916,12876,13257,14093,13402,13545,14554,14115,13774,13439,14150,14221,14182,14769,15184,15917,16238,16727,16737,16464,16742,17203,17785
Pob_Mujeres_61_anios,8316,8541,8332,8186,8424,8701,8390,9909,9904,10434,10662,11244,11432,11678,11587,12401,11853,12772,12554,13271,13032,12732,12245,13122,10954,9683,9006,11673,10573,10859,12804,13158,14013,13339,13487,14475,14044,13704,13373,14075,14172,14111,14707,15133,15868,16195,16645,16648,16432,16729,17218
Pob_Mujeres_62_anios,7960,8279,8465,8248,8139,8367,8624,8310,9816,9830,10338,10556,11136,11329,11563,11487,12268,11770,12689,12460,13173,12952,12643,12166,13019,10888,9618,8941,11610,10512,10780,12753,13078,13978,13286,13413,14375,13993,13649,13283,13994,14119,14076,14661,15071,15818,16098,16552,16587,16355,16712
Pob_Mujeres_63_anios,8023,7914,8224,8387,8178,8080,8324,8543,8241,9725,9745,10238,10452,11036,11228,11439,11376,12161,11694,12593,12366,13089,12857,12542,12078,12915,10796,9548,8872,11536,10458,10708,12668,12992,13897,13236,13324,14311,13909,13581,13219,13930,14069,14047,14613,15010,15745,15993,16506,16569,16321
Pob_Mujeres_64_anios,8260,7934,7854,8158,8318,8104,8015,8239,8459,8178,9623,9640,10145,10348,10918,11124,11308,11275,12079,11618,12496,12281,12979,12755,12454,11968,12790,10722,9492,8802,11464,10398,10637,12596,12934,13829,13184,13235,14230,13846,13481,13157,13900,14019,13968,14575,14934,15646,15891,16449,16526
Pob_Mujeres_65_anios,7514,8130,7830,7802,8086,8216,8022,7919,8145,8381,8102,9511,9540,10048,10232,10795,11006,11238,11184,11990,11546,12386,12186,12888,12639,12372,11884,12677,10642,9409,8738,11422,10330,10559,12540,12823,13723,13114,13150,14141,13794,13423,13104,13839,13957,13904,14491,14832,15570,15839,16389
Pob_Mujeres_66_anios,7278,7443,8005,7716,7739,8021,8127,7938,7830,8051,8287,8020,9393,9447,9932,10124,10664,10919,11159,11106,11906,11463,12288,12082,12765,12538,12257,11780,12554,10586,9342,8686,11348,10259,10512,12447,12742,13639,13044,13081,14048,13743,13343,13039,13778,13880,13798,14403,14773,15520,15792
Pob_Mujeres_67_anios,6995,7186,7362,7873,7614,7682,7953,8028,7847,7727,7976,8179,7935,9276,9336,9824,10014,10566,10830,11061,11030,11802,11363,12186,11974,12656,12423,12152,11682,12444,10527,9284,8626,11280,10189,10440,12379,12663,13545,12972,12982,13951,13651,13258,12973,13688,13780,13694,14293,14718,15465
Pob_Mujeres_68_anios,6946,6846,7097,7283,7729,7510,7619,7867,7934,7744,7614,7869,8062,7835,9146,9220,9702,9911,10479,10738,10969,10930,11683,11265,12082,11859,12540,12320,12052,11573,12369,10452,9198,8585,11187,10112,10362,12303,12595,13469,12909,12863,13873,13580,13185,12915,13592,13681,13632,14214,14651
Pob_Mujeres_69_anios,6745,6834,6701,6997,7196,7594,7388,7519,7771,7826,7625,7479,7762,7938,7737,9036,9097,9602,9827,10369,10654,10868,10821,11581,11151,11961,11743,12405,12206,11939,11478,12259,10393,9136,8539,11082,10057,10300,12230,12515,13367,12814,12790,13809,13484,13118,12835,13464,13597,13564,14141
Pob_Mujeres_70_anios,6176,6581,6706,6550,6887,7117,7438,7258,7402,7648,7719,7506,7344,7647,7817,7641,8891,8970,9511,9733,10250,10529,10754,10706,11450,11032,11827,11618,12270,12104,11841,11384,12158,10313,9080,8467,10987,9990,10237,12124,12447,13254,12701,12725,13723,13403,13002,12706,13358,13479,13491
Pob_Mujeres_71_anios,5879,6034,6441,6557,6386,6772,7023,7316,7139,7260,7523,7585,7388,7224,7522,7711,7534,8765,8842,9388,9604,10143,10399,10646,10574,11332,10905,11664,11486,12156,11994,11745,11290,12017,10239,8994,8371,10915,9915,10147,12027,12329,13148,12620,12622,13650,13273,12873,12588,13265,13394
Pob_Mujeres_72_anios,5443,5743,5887,6271,6429,6229,6658,6888,7176,6996,7129,7405,7420,7275,7114,7399,7566,7426,8625,8713,9281,9487,10008,10257,10498,10458,11178,10770,11537,11342,12039,11852,11631,11181,11898,10136,8889,8325,10834,9823,10040,11957,12238,13057,12526,12545,13537,13118,12775,12473,13190
Pob_Mujeres_73_anios,4760,5281,5592,5717,6099,6293,6052,6507,6742,7025,6852,6971,7253,7285,7155,6990,7253,7423,7311,8495,8602,9144,9337,9864,10111,10355,10323,11008,10640,11384,11207,11901,11724,11501,11055,11764,10029,8781,8242,10721,9719,9960,11851,12129,12960,12423,12424,13388,13015,12688,12384
Pob_Mujeres_74_anios,5846,4621,5120,5438,5563,5930,6140,5902,6341,6552,6871,6688,6809,7123,7132,6999,6837,7127,7294,7188,8321,8463,9002,9183,9689,9948,10191,10142,10839,10470,11214,11056,11745,11576,11357,10923,11602,9920,8692,8158,10617,9644,9866,11733,12015,12826,12261,12290,13239,12856,12591
Pob_Mujeres_75_anios,3706,5555,4490,4977,5298,5393,5721,5960,5745,6154,6385,6698,6499,6614,6942,6944,6832,6673,6978,7142,7065,8128,8292,8844,9005,9498,9770,10055,9992,10664,10299,11052,10896,11592,11412,11189,10803,11478,9805,8600,8071,10497,9531,9748,11585,11859,12650,12109,12144,13118,12731
Pob_Mujeres_76_anios,4216,3540,5268,4345,4807,5139,5226,5528,5770,5585,5948,6194,6523,6294,6425,6756,6747,6650,6516,6785,7000,6899,7928,8100,8657,8821,9289,9567,9880,9823,10474,10113,10887,10716,11412,11228,11028,10641,11295,9666,8485,7959,10361,9423,9625,11441,11679,12478,11904,12008,12939
Pob_Mujeres_77_anios,3282,3974,3418,5011,4198,4602,4944,5030,5311,5558,5404,5726,5972,6337,6098,6239,6572,6555,6462,6362,6609,6833,6722,7740,7886,8460,8629,9090,9375,9658,9658,10286,9945,10692,10527,11226,11040,10804,10474,11125,9505,8356,7853,10222,9296,9485,11242,11503,12259,11728,11848
Pob_Mujeres_78_anios,3502,3110,3759,3266,4736,4054,4417,4742,4856,5083,5344,5198,5518,5744,6094,5888,5993,6360,6368,6250,6208,6423,6645,6557,7522,7652,8229,8402,8835,9133,9440,9445,10064,9712,10465,10329,11029,10846,10601,10292,10895,9335,8215,7719,10059,9163,9315,11051,11300,12077,11562
Pob_Mujeres_79_anios,3204,3273,2920,3525,3140,4473,3917,4219,4529,4636,4853,5093,4975,5292,5503,5877,5648,5766,6113,6172,6048,5978,6204,6421,6344,7284,7401,8013,8178,8624,8897,9179,9211,9815,9505,10217,10109,10785,10596,10413,10084,10696,9160,8043,7568,9875,8969,9107,10827,11066,11889
Pob_Mujeres_80_anios,2720,2955,3062,2749,3299,2988,4200,3719,3981,4279,4417,4615,4808,4763,5029,5279,5589,5389,5523,5863,5945,5830,5761,6007,6173,6079,7001,7159,7762,7948,8376,8649,8916,8961,9562,9263,9948,9877,10519,10317,10194,9825,10465,8939,7872,7416,9598,8777,8879,10601,10841
Pob_Mujeres_81_anios,2304,2511,2685,2832,2568,3079,2825,3911,3486,3761,4010,4157,4326,4554,4512,4763,4996,5318,5104,5242,5618,5677,5573,5524,5751,5894,5825,6697,6937,7451,7679,8054,8352,8595,8684,9251,8980,9658,9616,10249,10028,9924,9544,10190,8720,7678,7204,9305,8530,8664,10342
Pob_Mujeres_82_anios,1991,2111,2305,2456,2591,2392,2837,2616,3615,3237,3521,3742,3884,4053,4232,4278,4471,4732,5026,4852,4950,5337,5384,5286,5230,5446,5607,5556,6433,6644,7122,7394,7765,8034,8268,8345,8919,8672,9314,9292,9948,9696,9638,9234,9900,8463,7441,6965,8977,8269,8388
Pob_Mujeres_83_anios,1621,1808,1896,2095,2264,2382,2230,2585,2411,3320,3006,3263,3484,3622,3750,3941,4005,4193,4456,4720,4568,4693,5034,5097,4982,4971,5154,5304,5292,6111,6314,6750,7079,7425,7681,7936,8014,8537,8347,8961,8954,9565,9369,9327,8904,9546,8139,7187,6698,8685,8015
Pob_Mujeres_84_anios,1770,1433,1612,1685,1894,2031,2158,2002,2362,2178,3015,2754,3008,3212,3352,3456,3617,3712,3888,4151,4426,4221,4389,4743,4766,4672,4677,4835,5021,4968,5743,5959,6378,6722,7051,7299,7591,7608,8158,7995,8565,8544,9148,8950,8945,8544,9151,7782,6898,6464,8381
Pob_Mujeres_85_y_mas_anios,5915,6419,6515,6792,7203,7716,8290,8829,9279,9932,10385,11356,12120,13145,14249,15322,16312,17252,18214,19205,20386,21576,22301,23239,24372,25359,26418,27313,28122,28707,29398,30772,32556,34356,36328,38566,40815,43237,45105,47884,50049,52061,54180,56523,58428,60301,60870,62463,61990,61322,60178
Pob_Ext_Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,51809,66348,81063,96699,112835,130561,150628,166043,171253,173917,173888,168672,163371,165507,171530,180259,192518,209248,231235,243466,249304,274142,295902,320744
Pob_Ext_Total_0a4anios,,,,,,,,,,,,,,,,,,,,,,,,,,,,1742,2112,2397,2481,2559,2707,2880,2710,2328,2033,1812,1518,1383,1320,1304,1484,1827,2216,2664,2443,2161,2759,2794,2966
Pob_Ext_Total_5a9anios,,,,,,,,,,,,,,,,,,,,,,,,,,,,2168,2999,3765,4541,5458,6282,6761,6875,6631,6191,5782,5146,4446,3929,3570,3326,3622,4121,5091,5471,6019,7415,8185,8566
Pob_Ext_Total_10a14anios,,,,,,,,,,,,,,,,,,,,,,,,,,,,2269,3016,3790,4501,5444,6467,7609,8387,8949,9186,9205,8799,8374,8042,7773,7615,7442,7204,7297,7090,6920,8474,9629,11218
Pob_Ext_Total_15a19anios,,,,,,,,,,,,,,,,,,,,,,,,,,,,2720,3883,5006,6110,7095,8207,9370,10109,10280,10455,10488,10608,10488,10956,11442,11917,12521,13375,13881,13309,12893,13769,14403,15285
Pob_Ext_Total_20a24anios,,,,,,,,,,,,,,,,,,,,,,,,,,,,4674,6649,8491,10302,11996,14062,16295,17471,16969,16018,14866,13420,12347,12302,13016,14245,15952,17961,20664,21296,21230,23424,25137,26884
Pob_Ext_Total_25a29anios,,,,,,,,,,,,,,,,,,,,,,,,,,,,6752,9186,11687,14260,16971,19759,22912,25073,25010,24072,22822,20671,18768,17955,17767,18127,19267,21460,24535,26053,26527,29454,32109,35209
Pob_Ext_Total_30a34anios,,,,,,,,,,,,,,,,,,,,,,,,,,,,7579,9574,11771,14310,16636,19328,22740,25495,26441,27299,26866,25345,23532,22983,22843,23220,24000,25643,28187,29400,29331,31897,34390,37693
Pob_Ext_Total_35a39anios,,,,,,,,,,,,,,,,,,,,,,,,,,,,6871,8582,10178,12018,14088,16329,18873,21239,22285,23038,23559,23392,23071,23420,24639,25697,26978,28627,30727,31620,31596,33413,35417,37691
Pob_Ext_Total_40a44anios,,,,,,,,,,,,,,,,,,,,,,,,,,,,4892,6107,7416,9096,10776,12597,14575,16574,17661,18527,19211,19067,19025,19836,20813,22195,23773,26022,28496,30808,31562,33801,35457,37478
Pob_Ext_Total_45a49anios,,,,,,,,,,,,,,,,,,,,,,,,,,,,3523,4396,5380,6286,7411,8631,10200,11523,12569,13341,14065,14525,14713,15587,16706,17906,19102,20515,22838,24453,25594,27898,30192,32399
Pob_Ext_Total_50a54anios,,,,,,,,,,,,,,,,,,,,,,,,,,,,2331,2931,3509,4268,5016,5879,6918,7950,8401,9002,9449,9720,10095,10862,11813,12897,14193,15689,17229,18801,19872,21585,23220,25365
Pob_Ext_Total_55a59anios,,,,,,,,,,,,,,,,,,,,,,,,,,,,1489,1725,2104,2513,2976,3470,4134,4664,5291,5800,6217,6507,6760,7080,7696,8393,9293,10325,11731,13081,14158,15885,17365,18926
Pob_Ext_Total_60a64anios,,,,,,,,,,,,,,,,,,,,,,,,,,,,1364,1411,1537,1656,1816,2031,2276,2635,2901,3223,3563,3857,3995,4491,4906,5436,6070,6831,7480,8237,8930,10139,11406,12865
Pob_Ext_Total_65a69anios,,,,,,,,,,,,,,,,,,,,,,,,,,,,847,1075,1218,1420,1580,1692,1668,1742,1776,1866,2000,2101,2263,2513,2804,3112,3496,3951,4635,5110,5641,6414,7358,8098
Pob_Ext_Total_70a74anios,,,,,,,,,,,,,,,,,,,,,,,,,,,,940,948,952,979,950,983,1206,1350,1463,1580,1643,1517,1529,1524,1618,1749,1955,2187,2480,2782,3131,3636,4145,4882
Pob_Ext_Total_75a79anios,,,,,,,,,,,,,,,,,,,,,,,,,,,,735,786,848,893,911,938,962,931,952,880,870,1016,1099,1216,1333,1388,1346,1389,1428,1541,1684,1964,2279,2594
Pob_Ext_Total_80a84anios,,,,,,,,,,,,,,,,,,,,,,,,,,,,457,485,502,526,603,644,673,713,762,765,802,790,752,730,681,669,822,885,1010,1100,1150,1183,1278,1366
